Chord,Notes
D-major-second major tetrachord,D3 E3 F#3 A3 D2
D-major-second major tetrachord,D4 F#4 A3 E4
Bb-major seventh,D4 B-3 F3 A3 B-2
Bb-major seventh,D3 F3 A3 B-3 B-2
Bb-major seventh,B-3 D4 F4 A4 B-2
Eb-major seventh,G4 D4 E-4 B-3 E-2
C-dominant seventh,G3 C4 E3 B-3 C2
F-quartal trichord,F4 C4 G3
A-minor seventh,G4 C4 A3 E4 A2
A-minor seventh,C4 E4 A3 G3 A2
A-diminished,A3 C4 E-4 A2
G-major pentatonic,D4 F4 C4 B-3 G3 B-2
F-major seventh,F3 C4 E4 A3 F2
A-major,A3 C#4 E3 A2
Bb-major,D4 F3 B-3 B-2
F-major seventh,F3 C4 A3 E4 F2
C-quartal trichord,C4 D4 G3 G2
A-minor seventh,C4 A3 E3 G3 A2
D-quartal trichord,A3 D4 E3 A2
A-diminished,A4 C4 E-4
enharmonic equivalent to minor above Bb,B-3 F4 C#4 B-2
A-minor seventh,G3 C4 A3 E4 A2
A-minor seventh,C4 E3 G3 A3 A2
A-minor seventh,C3 E3 G3 A3 A2
G-major pentatonic,D4 F4 B-3 G4 C4 B-2
G-major pentatonic,D4 F4 G4 C4 B-3 B-2
E-diminished,G3 E4 B-3 E2
G-minor seventh,F3 D4 G3 B-3 G2
C-quartal trichord,C4 D3 G3 G2
D-quartal trichord,D4 E4 A3 A2
Bb-incomplete half-diminished seventh,F#3 C4 B-3 F#2
Bb-incomplete half-diminished seventh,C3 F#3 B-3 F#2
C#-quartal trichord,C#4 G#3 E-4
enharmonic equivalent to minor seventh above C#,C#4 F4 B-3 G#4
enharmonic to dominant seventh above C#,C#4 F4 G#4 B3
Eb-major-second major tetrachord,F3 E-4 G3 B-3 E-2
enharmonic equivalent to major seventh above B,E-4 F#4 B3 B-3 B2
enharmonic equivalent to major seventh above E,G#4 B3 E-4 E4 E2
enharmonic equivalent to major above C#,G#3 C#4 F4 C#2
C#-major-second major tetrachord,G#3 E-4 C#4 F4 C#2
enharmonic to dominant seventh above C#,G#4 B3 C#4 F4 C#2
enharmonic equivalent to minor seventh above G#,E-4 G#3 B3 F#3 G#2
enharmonic equivalent to minor seventh above Eb,F#4 C#4 E-4 B-3 E-2
Eb-quartal trichord,E-4 G#3 B-3
enharmonic equivalent to major above C#,F4 G#3 C#4 C#2
enharmonic equivalent to diminished above C,E-4 F#3 C4 C2
Bb-incomplete half-diminished seventh,F#4 B-4 C4
Bb-incomplete half-diminished seventh,F#4 B-3 C4
Bb-incomplete half-diminished seventh,F#4 C4 B-3
B-quartal trichord,F#3 B3 C#4 F#2
enharmonic equivalent to minor seventh above C#,C#4 F4 G#4 B-3
enharmonic equivalent to major seventh above G#,C4 E-4 G4 G#3 G#2
enharmonic equivalent to major above B,E-4 F#3 B3 B2
F#-quartal trichord,F#3 C#4 G#3 F#2
F#-quartal trichord,C#3 F#3 G#3 F#2
F#-quartal trichord,F#4 G#3 C#4
enharmonic to dominant seventh above C#,C#4 F3 G#3 B3
enharmonic to dominant seventh above C#,C#3 F3 G#3 B3 C#2
Eb-major-second major tetrachord,E-3 F3 G3 B-3 E-2
Eb-major-second major tetrachord,E-4 G4 B-3 F4
enharmonic equivalent to major seventh above B,E-4 B3 F#3 B-3 B2
enharmonic equivalent to major seventh above B,E-3 F#3 B-3 B3 B2
enharmonic equivalent to major seventh above B,B3 E-4 F#4 B-4 B2
enharmonic equivalent to major seventh above E,G#4 E-4 E4 B3 E2
enharmonic to dominant seventh above C#,G#3 C#4 F3 B3 C#2
F#-quartal trichord,F#4 C#4 G#3
enharmonic equivalent to major above C#,F3 G#3 C#4 C#2
enharmonic equivalent to minor seventh above Bb,G#4 C#4 B-3 F4 B-2
C#-major pentatonic,E-4 F#4 C#4 B3 G#3 B2
enharmonic equivalent to major seventh above F#,F#3 C#4 F4 B-3 F#2
Bb-major,B-3 D4 F3 B-2
enharmonic equivalent to major seventh above F#,F#3 C#4 B-3 F4 F#2
C#-quartal trichord,C#4 E-4 G#3 G#2
enharmonic equivalent to minor seventh above Bb,C#4 B-3 F3 G#3 B-2
Eb-quartal trichord,B-3 E-4 F3 B-2
B-minor,B3 F#4 D4 B2
enharmonic equivalent to minor seventh above Bb,G#3 C#4 B-3 F4 B-2
enharmonic equivalent to minor seventh above Bb,C#4 F3 G#3 B-3 B-2
C#-major pentatonic,E-4 F#4 B3 G#4 C#4 B2
C#-major pentatonic,E-4 F#4 G#4 C#4 B3 B2
enharmonic equivalent to diminished above F,G#3 F4 B3 F2
enharmonic equivalent to minor seventh above G#,F#3 E-4 G#3 B3 G#2
C#-quartal trichord,C#4 E-3 G#3 G#2
Eb-quartal trichord,E-4 F4 B-3 B-2
C#-incomplete half-diminished seventh,G3 C#4 B3 G2
C#-incomplete half-diminished seventh,C#3 G3 B3 G2
D-quartal trichord,D4 A3 E4
B-minor seventh,D4 F#4 B3 A4
D-dominant seventh,D4 F#4 C4 A3
E-major-second major tetrachord,F#3 E4 G#3 B3 E2
C-major seventh,E3 C4 G3 B3 C2
F-major seventh,A3 C4 E4 F4 F2
D-major-second major tetrachord,A3 E4 D4 F#4 D2
D-dominant seventh,A3 C4 D4 F#3 D2
D-dominant seventh,C4 D4 F#3 A3 D2
A-quartal trichord,E4 A3 B3
D-major,F#3 A3 D4 D2
C#-diminished,E4 G3 C#4 C#2
D-dominant seventh,D4 F#4 A3 C4
C#-incomplete half-diminished seventh,G4 B4 C#4
C#-incomplete half-diminished seventh,G4 B3 C#4
C#-incomplete half-diminished seventh,G4 C#4 B3
B-minor seventh,D4 F#4 A4 B3
A-major seventh,C#4 E4 G#4 A3 A2
G-quartal trichord,G4 A3 D4
D-dominant seventh,D4 F#3 C4 A3
D-dominant seventh,D3 C4 F#3 A3 D2
D-dominant seventh,C3 D3 F#3 A3 D2
E-major-second major tetrachord,E3 F#3 G#3 B3 E2
E-major-second major tetrachord,E4 G#4 B3 F#4
F-major seventh,C4 E4 F4 A3 F2
enharmonic equivalent to diminished above F,B3 F4 G#3 F2
A-major pentatonic,E4 G3 C4 A3 D4 C2
G-major seventh,D3 G3 F#3 B3 G2
enharmonic equivalent to major above B,B3 E-4 F#3 B2
G-major seventh,G3 D4 B3 F#4 G2
B-minor seventh,D4 B3 F#3 A3 B2
E-quartal trichord,B3 E4 F#3 B2
C-minor,C4 G3 E-4
A-major pentatonic,C4 E3 D4 G3 A3
A-major pentatonic,C4 D3 E3 G3 A3
A-major pentatonic,C3 D3 E3 G3 A3 C2
B-minor seventh,D4 F#3 A3 B3
B-minor seventh,D3 F#3 A3 B3 D2
E-quartal trichord,E4 F#4 B3 B2
C-incomplete half-diminished seventh,C4 G#3 D3 G#2
C-incomplete half-diminished seventh,C3 D3 G#3 G#2
Eb-quartal trichord,E-4 B-3 F4
C-minor seventh,E-4 G4 C4 B-3
enharmonic equivalent to diminished above G,C#4 G4 B-3 G2
C#-German augmented sixth,E-4 G3 C#4 B-3
enharmonic equivalent to major seventh above C#,F3 C4 C#4 G#3 C#2
enharmonic equivalent to major seventh above F#,B-3 C#4 F4 F#4 F#2
Eb-major-second major tetrachord,B-3 F4 E-4 G4 E-2
enharmonic equivalent to major seventh above G#,E-4 G3 C4 G#3 G#2
enharmonic equivalent to major seventh above G#,C4 E-3 G3 G#3 G#2
C#-German augmented sixth,B-3 C#4 E-4 G3 E-2
C-minor seventh,E-3 C4 G3 B-3 C2
enharmonic equivalent to minor seventh above F,C4 F3 G#3 E-3 F2
enharmonic equivalent to major above G#,G#3 E-4 C4 G#2
enharmonic equivalent to diminished above D,F3 G#3 D4 D2
C#-German augmented sixth,E-4 G4 B-3 C#4
C#-German augmented sixth,E-4 G4 C#4 B-3
C-incomplete half-diminished seventh,G#4 C4 D4
C-incomplete half-diminished seventh,G#3 C4 D4 G#2
C-incomplete half-diminished seventh,C4 D4 G#3 G#2
Eb-quartal trichord,E-4 F3 B-3
C-minor seventh,E-4 C4 G4 B-3
C#-German augmented sixth,E-3 C#4 G3 B-3 E-2
C#-German augmented sixth,C#3 E-3 G3 B-3 E-2
F-major-second major tetrachord,G3 C4 F3 A3 F2
F-major-second major tetrachord,C3 F3 G3 A3 F2
F-major-second major tetrachord,F4 A3 C4 G4
enharmonic equivalent to major seventh above F#,C#4 F4 F#4 B-3 F#2
C#-German augmented sixth,C#4 E-4 G3 B-3 E-2
C-minor seventh,E-4 G3 B-3 C4 C2
C#-major pentatonic,F4 G#3 C#4 B-3 E-4 C#2
enharmonic equivalent to major seventh above G#,E-3 G#3 C4 G3 G#2
C#-minor,C#4 G#3 E4
enharmonic equivalent to diminished above C,C4 E-3 F#3
C#-major pentatonic,F4 C#4 G#3 B-3 E-4 C#2
C#-major pentatonic,C#4 F3 E-4 G#3 B-3
C#-major pentatonic,C#4 E-3 F3 G#3 B-3
C#-major pentatonic,C#3 E-3 F3 G#3 B-3 C#2
C-minor seventh,E-4 C4 G3 B-3 C2
A-incomplete half-diminished seventh,C#4 A3 E-3 A2
A-incomplete half-diminished seventh,C#3 E-3 A3 A2
E-quartal trichord,E4 B3 F#4
C#-minor seventh,E4 G#4 C#4 B3
D-major,A3 D4 F#4 D2
G#-diminished,D4 G#4 B3 G#2
E-dominant seventh,E4 G#3 D4 B3
D-major seventh,F#3 C#4 D4 A3 D2
G-major seventh,B3 D4 F#4 G4 G2
E-major-second major tetrachord,B3 F#4 E4 G#4 E2
A-major seventh,E4 G#3 C#4 A3 A2
A-major seventh,C#4 E3 G#3 A3 A2
E-dominant seventh,B3 D4 E4 G#3 E2
C#-minor seventh,E3 C#4 G#3 B3 C#2
F#-minor seventh,C#4 F#3 A3 E3 F#2
A-major,A3 E4 C#4 A2
enharmonic equivalent to diminished above Eb,F#3 A3 E-4 E-2
E-dominant seventh,E4 G#4 B3 D4
E-dominant seventh,E4 G#4 D4 B3
A-incomplete half-diminished seventh,A4 C#4 E-4
A-incomplete half-diminished seventh,A3 C#4 E-4 A2
A-incomplete half-diminished seventh,C#4 E-4 A3 A2
E-quartal trichord,E4 F#3 B3
C#-minor seventh,E4 C#4 G#4 B3
E-dominant seventh,E3 D4 G#3 B3 E2
E-dominant seventh,D3 E3 G#3 B3 E2
G#-major-second major tetrachord,G#3 C#4 F#3 B-3 F#2
G#-major-second major tetrachord,C#3 F#3 G#3 B-3 F#2
G#-major-second major tetrachord,F#4 B-3 C#4 G#4
G-major seventh,D4 F#4 G4 B3 G2
E-dominant seventh,D4 E4 G#3 B3 E2
C#-minor seventh,E4 G#3 B3 C#4 C#2
B-major pentatonic,F#4 A3 D4 B3 E4 D2
A-major seventh,E3 A3 C#4 G#3 A2
D-major,F#4 A3 D4 D2
D-minor,D4 A3 F4
C#-diminished,C#4 E3 G3
B-major pentatonic,F#4 D4 A3 B3 E4 D2
B-major pentatonic,D4 F#3 E4 A3 B3
B-major pentatonic,D4 E3 F#3 A3 B3
B-major pentatonic,D3 E3 F#3 A3 B3 D2
B-minor seventh,A3 D4 B3 F#4 B2
B-minor seventh,D4 F#3 A3 B3 B2
C#-minor seventh,E4 C#4 G#3 B3 C#2
E-incomplete half-diminished seventh,D4 B-3 E3 B-2
E-incomplete half-diminished seventh,D3 E3 B-3 B-2
D-minor seventh,F4 A3 D4 C4
A-diminished,E-3 C4 A3 A2
F-dominant seventh,F4 A3 C4 E-4
Eb-major seventh,G3 D4 E-4 B-3 E-2
F-major-second major tetrachord,C4 G4 F4 A3 F2
Bb-major seventh,F3 B-3 D4 A3 B-2
F-dominant seventh,C4 E-4 F4 A3 F2
D-minor seventh,F3 C4 D4 A3 D2
Bb-major,B-3 F4 D4 B-2
G-minor seventh,D4 F4 G4 B-3 G2
C-quartal trichord,G3 D4 C4 G2
E-diminished,G3 B-3 E4 E2
F-dominant seventh,F4 C4 E-4 A3
E-incomplete half-diminished seventh,B-4 D4 E4
E-incomplete half-diminished seventh,B-3 D4 E4 B-2
E-incomplete half-diminished seventh,D4 E4 B-3 B-2
D-minor seventh,F4 D4 A3 C4
D-minor seventh,F4 C4 D4 A3
Bb-quartal trichord,C4 F4 B-3 B-2
A-diminished,C3 E-3 A3 A2
enharmonic equivalent to major seventh above G#,C4 E-4 G#3 G4 G#2
F-major-second major tetrachord,C4 G3 F4 A3 F2
F-major-second major tetrachord,F3 C4 G3 A3 F2
Bb-major seventh,F4 A3 D4 B-3 B-2
Bb-major seventh,D4 F3 A3 B-3 B-2
C-quartal trichord,C4 G3 D3 G2
F-dominant seventh,C4 E-4 F3 A3 F2
F-dominant seventh,C4 E-3 F3 A3 F2
F-dominant seventh,C3 E-3 F3 A3 F2
D-minor seventh,F4 A3 C4 D4 D2
C-minor seventh,G3 C4 E-3 B-3 C2
C-major pentatonic,G3 B-3 E-4 C4 F4 E-2
Bb-major seventh,F3 D4 B-3 A3 B-2
Eb-major,G4 B-3 E-4 E-2
enharmonic equivalent to minor above Eb,E-4 B-3 F#4
enharmonic equivalent to diminished above D,D4 F3 G#3
C-major pentatonic,G3 C4 E-3 B-3 F4 E-2
C-major pentatonic,C4 F3 E-4 G3 B-3 E-2
C-major pentatonic,E-3 C4 F3 G3 B-3 E-2
C-major pentatonic,C3 E-3 F3 G3 B-3 E-2
C-minor seventh,B-3 C4 E-4 G4 C2
Eb-incomplete half-diminished seventh,E-4 B3 F3 B2
Eb-incomplete half-diminished seventh,E-3 F3 B3 B2
enharmonic equivalent to minor seventh above F#,F#4 B-3 E-4 C#4
enharmonic to dominant seventh above F#,F#4 B-3 C#4 E4
G#-major-second major tetrachord,C#4 G#4 F#4 B-3 F#2
enharmonic equivalent to major seventh above B,F#3 B3 E-4 B-3 B2
enharmonic to dominant seventh above F#,C#4 E4 F#4 B-3 F#2
enharmonic equivalent to minor seventh above Eb,F#3 C#4 E-4 B-3 E-2
enharmonic equivalent to major above B,B3 F#4 E-4 B2
enharmonic equivalent to minor seventh above G#,E-4 F#4 G#4 B3 G#2
C#-quartal trichord,G#3 E-4 C#4 G#2
enharmonic equivalent to diminished above F,G#3 B3 F4 F2
enharmonic to dominant seventh above F#,F#4 C#4 E4 B-3
Eb-incomplete half-diminished seventh,B4 E-4 F4
Eb-incomplete half-diminished seventh,B3 E-4 F4 B2
Eb-incomplete half-diminished seventh,E-4 F4 B3 B2
enharmonic equivalent to minor seventh above F#,F#4 E-4 B-3 C#4
enharmonic equivalent to minor seventh above F#,F#4 C#4 E-4 B-3
B-quartal trichord,C#4 F#4 B3 B2
enharmonic equivalent to major seventh above E,G#3 E-4 E4 B3 E2
A-major seventh,C#4 E4 A3 G#4 A2
G#-major-second major tetrachord,C#4 G#3 F#4 B-3 F#2
G#-major-second major tetrachord,F#3 C#4 G#3 B-3 F#2
enharmonic equivalent to major seventh above B,F#4 B-3 E-4 B3 B2
enharmonic equivalent to major seventh above B,E-4 F#3 B-3 B3 B2
C#-quartal trichord,C#4 G#3 E-3 G#2
enharmonic to dominant seventh above F#,C#4 E4 F#3 B-3 F#2
enharmonic to dominant seventh above F#,C#4 E3 F#3 B-3 F#2
enharmonic to dominant seventh above F#,C#3 E3 F#3 B-3 F#2
enharmonic equivalent to minor seventh above Eb,F#4 B-3 C#4 E-4 E-2
C#-minor seventh,G#3 C#4 E3 B3 C#2
C#-major pentatonic,G#3 B3 E4 C#4 F#4 E2
enharmonic equivalent to major seventh above B,F#3 E-4 B3 B-3 B2
E-major,G#4 B3 E4 E2
E-minor,E4 B3 G4
enharmonic equivalent to diminished above Eb,E-4 F#3 A3
C#-major pentatonic,G#3 C#4 E3 B3 F#4 E2
C#-major pentatonic,C#4 F#3 E4 G#3 B3 E2
C#-major pentatonic,E3 C#4 F#3 G#3 B3 E2
C#-major pentatonic,C#3 E3 F#3 G#3 B3 E2
C#-minor seventh,B3 C#4 E4 G#4 C#2
